ID,NoFloor,FloorArea(m2),TotalFloorArea(m2),ColumnArea(m2),ConcreteWallArea(NS)(m2),ConcreteWallArea(EW)(m2),MasonryWallArea(NS)(m2),MasonryWallArea(EW)(m2),StructuralDamage
372,2,165,413,2.4,0,0,0.77,0.25,0
373,2,69,173,0.7,0,0,0.19,0.41,0
374,2,206,283,2.6,2.1,2.1,0.26,0,0
375,4,477,1724,8.3,17.7,0,0,0.13,1
376,4,595,2495,9.8,23.1,0,0,0.02,1
377,2,180,390,1.3,0,0,0.64,0.26,0
378,5,830,4358,8,9.6,0,0,0,1
379,1,179,179,1.6,0,0,0.46,0.15,0
380,2,581,1162,5.3,0,0,1.56,0.74,0
381,2,109,218,1.8,0,0,0,0.39,0
382,2,915,1830,9.7,0,0,1.74,0.72,0
383,3,613,1838,13.9,3.2,2.1,0,2.11,0
384,3,812,2437,7.2,1,0,1.52,0.37,0
385,4,404,1616,6.8,0,0,0,1.15,0
386,2,686,1715,10.6,0,0,1.36,0.12,0
387,4,70,279,1.5,0,0,0.16,0.24,1
388,3,600,2060,8.1,3.9,2.9,0,0,1
389,3,147,441,1.8,4.7,0,0.15,0.16,0
390,2,668,1218,7.4,0,0,0.8,0.37,0
391,2,63,158,0.9,0,0,0.4,0.06,0
393,1.2,482,569,7.3,0,0,0.31,0.46,0
395,3,345,850,3,0,0,0.34,0,1
396,3.5,901,3437,16.3,7.4,31.5,0,0,0
397,3,56,196,0.6,0,0,0.05,0.18,1
400,2,172,282,2,0,0,0.43,0.31,0
401,2,321,803,2.8,0,0,1.14,0.21,0
402,3,453,1444,6,0,0,0.08,0.58,0
403,3,171,492,2.5,0,0,0.34,0.19,0
405,2,81,201,1,0,0,0.51,0,0
406,3,207,632,2.5,0,0,0.28,1.07,0
407,2,485,970,12.7,8.9,0.6,0,0,0
408,3,143,467,1,0,0,0.23,0.38,1
409,2,480,1200,2.5,0,0,0.96,0.74,1
411,4,2068,8272,23.4,1.2,1.5,1.8,1.52,0
412,6,978,5866,10,4.4,7.5,0.23,0,0
413,2,1050,2100,14.6,0.6,18.6,0,0,0
414,1,930,930,5.6,0,0,0.91,0.52,0
415,1,231,231,2.5,0,0,0.14,0.21,0
416,3,838,2512,10.8,0,0,1.64,0.56,1
417,3,805,2412,8.8,0,0,2.39,2.21,1
418,5,994,4975,13.2,0,0,0,0,1
419,5,426,2135,6,0,0,0,0,1
420,4,170,682,0,5.8,0.6,0,0,1
422,4,206,823,2.8,1.3,0.5,0,0,0
423,4,152,608,2.6,1,0.3,0,0,0
424,4,178,713,2.4,0.3,1.1,0,0,1
425,4,193,770,3.2,0.4,1,0,0,1
426,4,162,630,4,0.5,1,0,0,0
429,5,122,608,2.8,0.3,0.9,0,0,1
430,4,195,780,3,0.7,1.2,0,0,0
432,4,197,789,3.2,0.4,1.4,0,0,1
433,4,232,930,4.2,0.8,3.1,0,0,1
434,4,227,908,4.2,0.6,0.9,0,0,1
435,4,160,642,2.9,2.2,1.5,0,0,0
436,4,249,995,3.5,0,1.4,0,0,1
437,4,249,995,3.1,3.2,1.3,0,0,1
439,3,444,1332,7.4,6.3,1.5,0.26,0.03,1
440,3,650,1950,3.9,8.6,1.8,0.24,0.18,1
441,4,252,1006,3.4,1.9,0.4,0,0,0
442,5,203,1014,6,0.8,0.7,0,0,0
443,4,155,618,2.8,1,0.4,0,0,0
444,4,183,731,3.3,0.5,1.3,0,0,0
445,4,153,610,1.9,2.9,0,0,0,1
446,3,209,625,3.7,3.3,0.4,0,0,1
447,4,196,784,3.4,1.9,1.1,0,0,0
448,4,265,1058,3.2,2.7,3.5,0,0,0
449,4,223,890,4.8,2.4,0.6,0,0,1
451,4,210,837,4.2,0.5,0.7,0,0,1
452,3,60,180,0,2.5,0,0,0,0
454,3,60,180,0,2.5,0,0,0,0
455,4,215,861,2.7,2.1,1.1,0,0,1
456,4,228,911,2.2,0,5.9,0,0,0
457,4,146,583,3.3,0.9,1.6,0,0,0
459,4,245,978,3.5,1,0.6,0,0,0
460,4,182,727,3.9,0.9,0.5,0,0,1
461,4,221,884,3.6,0.5,1.7,0,0,1
462,4,173,691,2.9,0.5,2.2,0,0,1
463,4,244,975,5.6,0.3,0.3,0,0,0
464,4,162,623,2.5,1.3,0.4,0,0,1
465,4,158,651,2.7,0.3,1.1,0,0,0
466,4,193,772,1.7,1.2,1.9,0,0.07,0
468,4,229,913,5.7,0.5,1.9,0,0,1
469,4,236,943,3.9,2.5,2.5,0,0,0
470,4,235,938,7.6,0.6,1.9,0,0,0
471,4,180,719,5.7,0.5,1.9,0,0,0
472,4,250,999,3.1,1,0.4,0,0,0
473,4,278,1112,4.3,1.2,0.5,0,0,0
474,4,201,802,3.7,0,1.2,0,0,1
475,4,193,772,0.7,0.6,11.7,0,0,1
476,4,178,711,3.5,2,0.6,0,0,0
477,3.5,895,3131,7.8,0,0,1.78,0.41,0
478,5,102,509,2.6,0.6,1.5,0,0,0
479,5,167,832,3.9,1,3,0,0,0
480,6,3290,19738,10.9,37.3,44,0,0,0
481,4,193,771,4,0.4,3.7,0,0,1
482,4,247,985,3.3,1.1,0.5,0,0,1
483,4,223,890,4,0.9,0,0,0,0
484,4,164,654,3.3,0.9,0.5,0,0,0
486,4,220,879,3.4,0.5,0.4,0,0,0
487,4,215,862,3.8,0.5,0.6,0,0,0
488,4,128,513,3.2,0.1,1.4,0,0,0
489,2,85,169,1.6,2.8,0.8,0,0,0
